Company Name,Sector,Stage,Amount,Location,Founded,Investor,Funding Year,Startup_Age,label,above_threshold
TheCollegeFever,brand marketing,Seed,250000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Happy Cow Dairy,agriculture,Seed,480000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
MyLoanCare,credit,Series A,780000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
PayMe India,financial services,Angel,2000000.0,Noida,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Eunimart,e-commerce platforms,Seed,1000000.0,Hyderabad,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Hasura,cloud infrastructure,Seed,1600000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Tripshelf,internet,Seed,192000.0,Kalkaji,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Hyperdata.IO,market research,Angel,600000.0,Hyderabad,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Freightwalla,information services,Seed,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Microchip Payments,mobile payments,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
BizCrum Infotech Pvt. Ltd.,b2b,Seed,1000000.0,Delhi,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Emojifi,internet,Seed,1000000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Flock,apps,Seed,1000000.0,India,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Freshboxx,food delivery,Seed,1000000.0,Hubli,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Wide Mobility Mechatronics,industrial automation,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Fyle,accounting,Seed,1100000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
AppWharf,artificial intelligence,Seed,1000000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
